employee_id,department,job_role,gender,age,years_at_company,monthly_salary,annual_salary,performance_rating,work_life_balance,overtime,training_hours,job_satisfaction,distance_from_home_km,attrition
EMP-30021,Finance,Accountant,Non-Binary,55,13,12648,151783,3,3,No,58,3,25,No
EMP-30022,Sales,Sales Director,Male,45,22,10985,131825,3,2,Yes,38,2,35,No
EMP-30023,Engineering,DevOps Engineer,Male,37,12,6040,72481,1,4,No,32,5,20,No
EMP-30024,Human Resources,Recruiting Lead,Female,53,17,3951,47421,3,2,No,56,5,15,No
EMP-30025,Marketing,SEO Specialist,Female,58,11,12826,153914,3,2,Yes,19,3,41,Yes
EMP-30026,Human Resources,Recruiting Lead,Female,43,20,10614,127379,2,3,No,22,5,30,No
EMP-30027,Engineering,Software Engineer,Non-Binary,40,17,7963,95563,3,4,Yes,32,4,21,No
EMP-30028,Product,Data Analyst,Male,53,14,6559,78708,3,2,No,27,3,5,No
EMP-30029,Product,UX Designer,Female,29,7,8562,102750,3,2,Yes,56,1,37,No
EMP-30030,Marketing,SEO Specialist,Non-Binary,33,1,12871,154454,2,3,Yes,10,3,37,No
EMP-30031,Product,Product Manager,Male,39,5,5129,61548,3,3,Yes,24,5,11,No
EMP-30032,Human Resources,People Partner,Male,58,21,9428,113144,4,2,Yes,10,5,3,Yes
EMP-30033,Sales,Sales Executive,Female,57,1,4536,54435,4,2,Yes,33,2,24,Yes
EMP-30034,Finance,Accountant,Female,53,4,7528,90340,3,2,Yes,27,2,38,Yes
EMP-30035,Human Resources,HR Generalist,Non-Binary,49,16,13097,157170,3,3,No,45,2,32,Yes
EMP-30036,Product,UX Designer,Non-Binary,35,7,11360,136326,4,2,Yes,11,5,45,Yes
EMP-30037,Finance,Accountant,Female,50,24,10593,127121,5,2,No,52,1,11,No
EMP-30038,Marketing,Growth Marketer,Non-Binary,35,9,6435,77230,4,3,No,26,3,36,No
EMP-30039,Sales,Account Manager,Male,48,9,6126,73513,5,2,No,46,5,18,No
EMP-30040,Human Resources,HR Generalist,Female,57,20,12234,146811,4,3,No,10,5,45,No
EMP-30041,Engineering,Software Engineer,Female,52,12,7794,93539,2,3,No,24,1,20,No
EMP-30042,Sales,Account Manager,Male,28,4,6760,81122,3,2,Yes,38,3,43,No
EMP-30043,Marketing,Growth Marketer,Female,49,12,7892,94707,4,3,Yes,35,1,24,Yes
EMP-30044,Product,Data Analyst,Female,35,11,12874,154490,3,4,No,39,4,43,No
EMP-30045,Marketing,Growth Marketer,Non-Binary,33,3,11679,140148,1,3,Yes,36,4,45,Yes
EMP-30046,Engineering,QA Specialist,Male,45,19,8816,105792,3,4,Yes,12,1,22,No
EMP-30047,Human Resources,Recruiting Lead,Male,40,9,6375,76508,3,3,No,49,5,31,No
EMP-30048,Marketing,Growth Marketer,Female,54,11,8133,97597,3,2,No,46,4,20,Yes
EMP-30049,Finance,Accountant,Non-Binary,45,15,6087,73048,3,2,Yes,60,2,35,Yes
EMP-30050,Marketing,Growth Marketer,Non-Binary,23,2,9058,108698,4,2,No,28,5,7,No
EMP-30051,Human Resources,HR Generalist,Male,55,25,13679,164155,3,3,Yes,31,2,16,Yes
EMP-30052,Product,Data Analyst,Non-Binary,41,15,3770,45246,3,2,No,30,5,29,No
EMP-30053,Engineering,QA Specialist,Non-Binary,53,22,10192,122315,3,3,Yes,23,1,36,Yes
EMP-30054,Marketing,SEO Specialist,Female,24,3,11536,138437,3,4,No,50,4,3,No
EMP-30055,Engineering,DevOps Engineer,Non-Binary,46,4,3960,47529,2,2,Yes,47,1,7,Yes
EMP-30056,Engineering,Engineering Lead,Female,58,21,6695,80351,3,2,No,49,5,12,No
EMP-30057,Marketing,Growth Marketer,Non-Binary,28,4,13622,163471,4,1,No,42,2,43,No
EMP-30058,Finance,Accountant,Female,47,22,6480,77766,3,2,No,36,2,24,No
EMP-30059,Marketing,SEO Specialist,Non-Binary,60,14,4246,50960,3,2,Yes,39,5,14,Yes
EMP-30060,Engineering,DevOps Engineer,Male,44,4,11977,143734,2,1,No,17,1,39,No
EMP-30061,Marketing,Content Strategist,Female,41,20,6226,74715,3,4,Yes,25,4,37,No
EMP-30062,Engineering,QA Specialist,Non-Binary,23,1,11435,137221,4,4,Yes,47,1,30,No
EMP-30063,Sales,Account Manager,Non-Binary,49,12,9874,118494,4,2,Yes,37,2,22,Yes
EMP-30064,Product,UX Designer,Male,52,19,6638,79657,4,3,Yes,37,5,25,No
EMP-30065,Finance,Financial Analyst,Male,30,3,5892,70706,4,2,No,45,2,21,No
EMP-30066,Human Resources,HR Generalist,Male,59,16,12375,148509,3,3,Yes,58,3,40,No
EMP-30067,Human Resources,Recruiting Lead,Female,38,9,7873,94485,5,3,Yes,28,3,18,No
EMP-30068,Engineering,Software Engineer,Non-Binary,28,7,12187,146248,3,3,No,10,2,25,No
EMP-30069,Sales,Sales Director,Male,43,5,4382,52594,3,3,Yes,49,5,14,No
EMP-30070,Product,UX Designer,Non-Binary,41,4,9616,115393,4,2,No,10,3,25,No
EMP-30071,Sales,Sales Executive,Male,38,17,6413,76959,2,2,Yes,11,1,12,Yes
EMP-30072,Finance,Financial Analyst,Female,22,1,3767,45212,3,4,No,23,4,31,Yes
EMP-30073,Finance,Financial Analyst,Female,52,14,4934,59209,5,2,No,29,2,39,Yes
EMP-30074,Human Resources,Recruiting Lead,Non-Binary,52,23,12906,154882,2,2,Yes,36,2,3,Yes
EMP-30075,Finance,Controller,Female,57,2,10923,131084,3,3,Yes,7,2,43,Yes
EMP-30076,Marketing,SEO Specialist,Female,47,9,10464,125577,3,2,Yes,30,1,21,No
EMP-30077,Product,Product Manager,Non-Binary,23,2,12320,147842,5,3,Yes,41,4,42,Yes
EMP-30078,Marketing,Content Strategist,Female,29,8,11206,134479,2,3,No,40,5,7,No
EMP-30079,Finance,Financial Analyst,Non-Binary,47,15,3867,46412,3,2,No,20,1,39,Yes
EMP-30080,Human Resources,People Partner,Male,43,6,8135,97629,4,1,Yes,32,5,2,No
EMP-30081,Finance,Accountant,Female,39,17,3864,46371,2,3,Yes,17,3,35,Yes
EMP-30082,Finance,Accountant,Male,27,1,8209,98510,3,2,No,59,1,31,Yes
EMP-30083,Marketing,Growth Marketer,Non-Binary,35,13,11289,135474,4,1,Yes,52,1,20,Yes
EMP-30084,Engineering,DevOps Engineer,Non-Binary,37,7,4697,56374,3,2,No,41,5,1,No
EMP-30085,Marketing,SEO Specialist,Female,28,4,9134,109611,2,2,Yes,17,1,23,Yes
EMP-30086,Human Resources,HR Generalist,Non-Binary,41,3,5165,61982,3,4,No,5,3,6,No
EMP-30087,Marketing,SEO Specialist,Male,57,19,7253,87042,3,2,No,12,5,30,No
EMP-30088,Human Resources,Recruiting Lead,Female,49,2,3852,46230,3,2,No,46,5,30,No
EMP-30089,Product,Product Manager,Male,52,25,6331,75976,1,2,No,42,4,29,No
EMP-30090,Human Resources,Recruiting Lead,Female,29,1,7050,84609,3,4,Yes,42,3,45,No
EMP-30091,Human Resources,People Partner,Male,29,2,7512,90146,3,4,No,15,4,4,No
EMP-30092,Finance,Accountant,Non-Binary,41,16,8267,99205,4,1,Yes,35,5,31,Yes
EMP-30093,Human Resources,Recruiting Lead,Female,44,14,7479,89750,3,3,No,14,2,25,No
EMP-30094,Sales,Account Manager,Non-Binary,43,9,11180,134168,1,2,Yes,43,5,17,No
EMP-30095,Human Resources,People Partner,Female,48,1,12956,155474,3,3,Yes,60,4,5,Yes
EMP-30096,Sales,Account Manager,Non-Binary,52,2,10574,126893,4,2,No,34,4,39,No
EMP-30097,Engineering,DevOps Engineer,Non-Binary,58,14,5326,63915,3,2,Yes,52,4,5,No
EMP-30098,Engineering,Software Engineer,Female,37,12,5095,61148,2,3,Yes,16,1,27,No
EMP-30099,Product,Product Manager,Female,34,3,6282,75386,2,4,Yes,8,2,14,No
EMP-30100,Sales,Account Manager,Female,46,1,12351,148218,3,3,Yes,58,4,37,No
EMP-30101,Marketing,SEO Specialist,Male,22,1,10434,125212,3,1,No,33,5,26,Yes
EMP-30102,Sales,Sales Director,Female,27,2,9275,111302,3,2,Yes,7,4,17,Yes
EMP-30103,Finance,Accountant,Female,56,16,12268,147219,5,2,Yes,42,5,1,Yes
EMP-30104,Marketing,Growth Marketer,Female,31,9,12511,150140,1,2,No,31,3,9,No
EMP-30105,Engineering,Engineering Lead,Non-Binary,49,18,9539,114472,3,2,No,6,2,3,Yes
EMP-30106,Finance,Financial Analyst,Male,29,4,13446,161354,2,2,Yes,44,3,36,Yes
EMP-30107,Human Resources,HR Generalist,Non-Binary,58,22,5188,62264,3,2,No,15,5,32,No
EMP-30108,Product,Product Manager,Female,32,5,9947,119368,3,2,Yes,35,5,26,Yes
EMP-30109,Engineering,Engineering Lead,Male,37,7,12053,144646,2,3,Yes,35,1,2,Yes
EMP-30110,Product,Product Manager,Male,55,16,7160,85923,3,1,Yes,14,2,42,No
EMP-30111,Engineering,Engineering Lead,Female,41,12,6716,80597,2,2,No,44,2,43,No
EMP-30112,Engineering,Software Engineer,Female,47,14,5187,62250,4,2,Yes,54,1,23,Yes
EMP-30113,Product,Data Analyst,Non-Binary,50,9,6762,81146,2,1,No,8,4,35,No
EMP-30114,Marketing,Growth Marketer,Non-Binary,56,7,5952,71432,1,4,No,14,2,45,No
EMP-30115,Human Resources,People Partner,Non-Binary,22,1,4284,51419,4,4,No,33,5,10,Yes
EMP-30116,Human Resources,Recruiting Lead,Male,39,18,7488,89858,3,1,No,5,1,24,Yes
EMP-30117,Engineering,Engineering Lead,Female,60,16,11060,132727,2,3,No,9,5,9,No
EMP-30118,Finance,Financial Analyst,Non-Binary,44,5,6352,76231,3,1,No,58,1,18,No
EMP-30119,Sales,Account Manager,Non-Binary,43,17,5514,66171,3,1,No,25,1,5,Yes
EMP-30120,Sales,Sales Director,Non-Binary,50,3,6834,82017,3,4,No,26,4,20,No
EMP-30121,Engineering,QA Specialist,Male,41,18,12605,151260,3,2,No,15,4,9,No
EMP-30122,Engineering,DevOps Engineer,Non-Binary,26,2,7030,84371,3,4,No,51,4,16,No
EMP-30123,Product,UX Designer,Non-Binary,51,16,5627,67524,4,2,Yes,45,3,13,No
EMP-30124,Marketing,Growth Marketer,Non-Binary,51,17,9161,109934,2,4,No,28,4,8,No
EMP-30125,Human Resources,People Partner,Female,36,15,9413,112964,4,3,Yes,44,5,4,No
EMP-30126,Sales,Account Manager,Non-Binary,23,2,5119,61431,3,3,No,8,1,4,No
EMP-30127,Engineering,Software Engineer,Female,44,16,6240,74891,3,1,Yes,30,4,45,No
EMP-30128,Product,Product Manager,Male,45,9,10236,122843,2,1,No,55,5,15,Yes
EMP-30129,Engineering,QA Specialist,Non-Binary,25,1,11163,133967,3,2,Yes,50,1,30,Yes
EMP-30130,Sales,Account Manager,Female,26,3,9116,109401,5,2,Yes,5,1,34,Yes
EMP-30131,Finance,Financial Analyst,Male,43,20,9511,114138,5,2,No,15,2,37,No
EMP-30132,Sales,Sales Director,Female,48,22,8287,99452,5,2,No,56,1,23,Yes
EMP-30133,Finance,Financial Analyst,Male,32,7,12151,145813,5,3,No,51,2,26,No
EMP-30134,Engineering,DevOps Engineer,Male,60,19,3923,47083,3,3,Yes,32,3,30,No
EMP-30135,Product,UX Designer,Female,31,8,9246,110960,3,3,No,25,3,43,No
EMP-30136,Product,UX Designer,Male,37,4,8125,97501,3,3,Yes,52,4,29,No
EMP-30137,Marketing,SEO Specialist,Male,34,5,6275,75303,3,2,Yes,22,3,14,No
EMP-30138,Product,Data Analyst,Male,44,6,9357,112290,3,3,No,34,2,16,No
EMP-30139,Finance,Financial Analyst,Male,37,1,9008,108098,3,2,Yes,8,2,15,Yes
EMP-30140,Engineering,DevOps Engineer,Male,40,16,6518,78226,1,3,No,17,4,11,No
EMP-30141,Sales,Account Manager,Male,42,3,8116,97397,1,2,Yes,25,1,2,Yes
EMP-30142,Engineering,QA Specialist,Female,42,18,13134,157616,3,3,No,45,1,18,Yes
EMP-30143,Product,Data Analyst,Non-Binary,41,11,8045,96546,3,1,Yes,28,3,6,Yes
EMP-30144,Sales,Sales Director,Male,53,25,9395,112747,2,1,Yes,57,3,2,Yes
EMP-30145,Product,Product Manager,Non-Binary,41,20,6523,78282,5,4,No,12,3,45,No
EMP-30146,Marketing,Growth Marketer,Female,29,7,8471,101654,4,2,Yes,22,4,16,Yes
EMP-30147,Human Resources,HR Generalist,Non-Binary,48,5,12983,155805,4,3,No,50,4,16,No
EMP-30148,Engineering,Software Engineer,Female,49,3,7165,85981,1,2,No,43,5,43,No
EMP-30149,Marketing,SEO Specialist,Non-Binary,48,20,8614,103378,3,1,Yes,48,2,45,No
EMP-30150,Engineering,Software Engineer,Non-Binary,59,2,4943,59326,1,4,No,51,1,4,No
EMP-30151,Finance,Financial Analyst,Female,54,17,9220,110645,3,3,Yes,7,3,26,No
EMP-30152,Human Resources,HR Generalist,Non-Binary,55,4,8202,98429,5,2,No,10,5,44,No
EMP-30153,Human Resources,People Partner,Male,44,21,4134,49611,3,2,No,53,5,35,No
EMP-30154,Human Resources,Recruiting Lead,Male,55,2,3881,46576,3,2,No,15,1,41,No
EMP-30155,Engineering,QA Specialist,Female,31,4,8753,105044,3,2,Yes,34,5,15,No
EMP-30156,Product,Product Manager,Non-Binary,36,1,12145,145748,3,2,No,11,3,23,No
EMP-30157,Finance,Controller,Male,48,15,13489,161876,2,2,No,41,1,28,Yes
EMP-30158,Finance,Controller,Female,50,12,4496,53962,4,2,No,11,1,28,Yes
EMP-30159,Human Resources,HR Generalist,Female,60,12,12717,152613,3,4,Yes,53,1,33,Yes
EMP-30160,Product,Data Analyst,Female,35,10,5350,64208,1,1,No,38,3,28,No
EMP-30161,Sales,Sales Executive,Female,52,16,12429,149150,3,3,Yes,29,4,45,No
EMP-30162,Engineering,DevOps Engineer,Female,28,3,6842,82115,3,3,Yes,59,1,10,Yes
EMP-30163,Engineering,DevOps Engineer,Female,40,11,7258,87106,1,1,No,23,5,3,No
EMP-30164,Product,Data Analyst,Male,58,19,9763,117163,4,3,No,30,4,16,No
EMP-30165,Human Resources,HR Generalist,Female,46,4,8028,96344,3,2,No,20,5,15,No
EMP-30166,Engineering,Software Engineer,Male,59,3,6929,83148,3,2,No,44,2,2,No
EMP-30167,Product,UX Designer,Male,50,19,9936,119238,5,2,No,31,4,10,No
EMP-30168,Human Resources,People Partner,Male,44,4,9450,113402,3,2,Yes,26,2,29,No
EMP-30169,Product,UX Designer,Male,22,1,5141,61697,3,1,No,7,3,25,No
EMP-30170,Human Resources,HR Generalist,Male,45,3,10951,131415,3,3,Yes,57,3,7,No
EMP-30171,Product,Product Manager,Non-Binary,22,1,4508,54102,3,2,Yes,59,2,14,Yes
EMP-30172,Human Resources,People Partner,Non-Binary,40,9,9057,108689,3,1,No,56,2,27,Yes
EMP-30173,Sales,Account Manager,Female,42,18,12600,151209,4,4,No,24,2,1,Yes
EMP-30174,Marketing,SEO Specialist,Non-Binary,31,5,9612,115345,3,2,Yes,20,4,16,No
EMP-30175,Marketing,Growth Marketer,Male,36,2,12898,154785,4,1,Yes,49,2,25,Yes
EMP-30176,Product,Data Analyst,Male,38,4,10350,124204,4,3,No,5,4,6,Yes
EMP-30177,Human Resources,HR Generalist,Non-Binary,58,24,5105,61271,4,3,Yes,51,3,25,No
EMP-30178,Product,Data Analyst,Male,41,16,8219,98635,3,3,Yes,23,1,3,Yes
EMP-30179,Engineering,QA Specialist,Male,34,13,4511,54143,3,1,Yes,24,1,22,No
EMP-30180,Product,Data Analyst,Male,32,6,10698,128385,2,4,Yes,24,3,29,Yes
EMP-30181,Marketing,Growth Marketer,Male,58,24,6752,81030,4,3,No,34,1,19,No
EMP-30182,Finance,Accountant,Non-Binary,35,2,3987,47854,2,2,No,53,4,18,Yes
EMP-30183,Sales,Sales Executive,Female,42,16,10299,123596,3,1,No,6,2,14,No
EMP-30184,Human Resources,Recruiting Lead,Female,59,20,9487,113847,3,3,Yes,20,5,7,No
EMP-30185,Human Resources,People Partner,Non-Binary,40,3,5779,69356,4,2,No,9,1,25,Yes
EMP-30186,Sales,Account Manager,Female,44,8,4463,53567,4,3,No,36,4,16,Yes
EMP-30187,Engineering,Software Engineer,Male,56,20,8185,98221,3,2,Yes,15,3,15,Yes
EMP-30188,Human Resources,Recruiting Lead,Male,25,3,8564,102778,3,3,No,43,3,36,No
EMP-30189,Product,Data Analyst,Non-Binary,55,19,6716,80602,3,3,No,5,2,26,No
EMP-30190,Engineering,Software Engineer,Female,51,1,11980,143761,2,2,Yes,46,4,21,Yes
EMP-30191,Marketing,SEO Specialist,Male,34,1,8601,103215,3,1,Yes,33,1,37,Yes
EMP-30192,Human Resources,HR Generalist,Male,39,1,5609,67311,5,2,No,10,3,22,No
EMP-30193,Human Resources,Recruiting Lead,Female,36,4,6298,75578,3,3,No,49,3,24,No
EMP-30194,Sales,Sales Director,Male,52,25,11174,134090,1,2,Yes,28,2,1,No
EMP-30195,Engineering,QA Specialist,Non-Binary,59,19,5717,68607,3,2,No,18,4,8,No
EMP-30196,Finance,Accountant,Non-Binary,51,8,4883,58600,5,2,No,53,4,45,No
EMP-30197,Marketing,SEO Specialist,Female,31,4,12409,148911,4,3,No,59,5,25,No
EMP-30198,Product,Product Manager,Non-Binary,31,8,10946,131357,4,3,Yes,21,1,16,Yes
EMP-30199,Sales,Sales Executive,Female,60,13,8559,102713,5,2,No,28,5,42,Yes
EMP-30200,Sales,Account Manager,Female,60,5,5043,60524,4,1,Yes,26,1,26,Yes
EMP-30201,Finance,Controller,Non-Binary,34,6,11943,143319,3,2,Yes,57,5,35,No
EMP-30202,Human Resources,HR Generalist,Male,40,11,7688,92267,3,3,Yes,43,2,17,No
EMP-30203,Human Resources,People Partner,Male,56,13,8092,97105,5,3,Yes,28,3,9,No
EMP-30204,Product,Product Manager,Female,23,1,8003,96043,5,1,Yes,55,1,43,Yes
EMP-30205,Engineering,Software Engineer,Female,49,3,8285,99431,2,3,Yes,40,3,17,No
EMP-30206,Product,Data Analyst,Non-Binary,54,3,5271,63260,5,4,Yes,8,5,33,Yes
EMP-30207,Sales,Sales Director,Female,46,19,10571,126853,2,3,No,35,2,13,No
EMP-30208,Sales,Sales Executive,Male,38,9,9530,114366,2,3,No,45,2,41,No
EMP-30209,Marketing,Growth Marketer,Non-Binary,48,3,10368,124417,2,4,Yes,13,1,27,Yes
EMP-30210,Engineering,Engineering Lead,Female,29,8,7948,95384,2,3,Yes,58,1,10,Yes
EMP-30211,Marketing,Content Strategist,Non-Binary,49,20,6357,76291,3,2,Yes,31,4,28,Yes
EMP-30212,Sales,Sales Executive,Male,58,22,4489,53876,4,3,Yes,26,2,35,Yes
EMP-30213,Product,UX Designer,Female,28,2,7906,94877,4,2,No,43,5,37,Yes
EMP-30214,Sales,Sales Executive,Female,33,10,8277,99325,4,2,No,53,2,41,Yes
EMP-30215,Product,Data Analyst,Non-Binary,49,17,4983,59806,4,4,Yes,24,2,15,Yes
EMP-30216,Marketing,Content Strategist,Non-Binary,55,1,7250,87005,3,2,No,25,3,39,No
EMP-30217,Product,Product Manager,Non-Binary,46,23,13457,161493,2,2,No,44,1,11,No
EMP-30218,Finance,Financial Analyst,Non-Binary,31,1,11540,138485,4,4,Yes,34,2,8,Yes
EMP-30219,Product,UX Designer,Female,23,1,5342,64104,2,3,Yes,39,1,12,Yes
EMP-30220,Marketing,SEO Specialist,Non-Binary,59,19,9098,109186,3,2,No,55,5,13,No
EMP-30221,Marketing,Growth Marketer,Non-Binary,42,12,4486,53840,3,3,Yes,21,4,18,No
EMP-30222,Engineering,Software Engineer,Female,35,7,8731,104775,1,3,No,14,3,26,No
EMP-30223,Human Resources,Recruiting Lead,Male,28,2,7734,92810,5,2,Yes,18,2,2,Yes
EMP-30224,Finance,Financial Analyst,Female,47,8,4100,49203,4,3,Yes,41,2,41,Yes
EMP-30225,Product,Data Analyst,Male,54,15,6187,74251,5,3,Yes,56,1,3,No
EMP-30226,Product,Data Analyst,Non-Binary,55,7,4659,55908,2,2,No,27,3,35,Yes
EMP-30227,Sales,Sales Executive,Female,30,1,4449,53395,3,3,No,13,5,31,Yes
EMP-30228,Product,Product Manager,Female,32,8,10446,125356,3,3,Yes,45,4,21,Yes
EMP-30229,Finance,Controller,Non-Binary,42,12,7376,88518,2,3,Yes,28,1,3,No
EMP-30230,Finance,Accountant,Non-Binary,56,25,6545,78545,4,1,Yes,18,1,1,Yes
EMP-30231,Engineering,Engineering Lead,Male,30,4,7269,87236,1,3,Yes,5,2,43,Yes
EMP-30232,Sales,Sales Director,Female,34,8,7364,88370,4,3,No,54,5,10,No
EMP-30233,Finance,Financial Analyst,Non-Binary,29,7,11499,137990,3,1,No,44,4,36,No
EMP-30234,Product,UX Designer,Male,37,7,13123,157476,1,2,No,9,1,25,Yes
EMP-30235,Human Resources,Recruiting Lead,Non-Binary,51,1,4084,49014,3,2,No,40,1,7,Yes
EMP-30236,Product,Product Manager,Female,48,10,5308,63704,3,2,Yes,38,1,38,Yes
EMP-30237,Engineering,Software Engineer,Female,22,1,12686,152232,1,3,No,44,5,27,Yes
EMP-30238,Product,Product Manager,Male,43,6,11487,137844,3,2,Yes,49,2,9,Yes
EMP-30239,Finance,Financial Analyst,Female,54,18,5859,70310,5,3,No,20,3,18,No
EMP-30240,Product,Data Analyst,Female,53,13,5654,67853,5,3,Yes,43,3,3,No
EMP-30241,Engineering,Software Engineer,Female,32,6,7238,86856,3,2,Yes,34,4,35,No
EMP-30242,Sales,Account Manager,Male,36,2,8612,103345,3,3,Yes,6,3,23,No
EMP-30243,Finance,Controller,Male,59,16,5035,60431,4,2,No,57,2,12,No
EMP-30244,Sales,Account Manager,Non-Binary,43,10,10967,131605,4,3,Yes,7,3,23,No
EMP-30245,Human Resources,Recruiting Lead,Female,53,20,10382,124595,5,1,Yes,55,4,38,No
EMP-30246,Sales,Sales Executive,Non-Binary,41,11,8858,106307,3,1,No,25,1,6,No
EMP-30247,Engineering,QA Specialist,Non-Binary,58,15,13706,164480,5,3,Yes,27,2,12,Yes
EMP-30248,Sales,Sales Executive,Female,55,20,12235,146823,3,1,Yes,22,4,28,No
EMP-30249,Engineering,DevOps Engineer,Non-Binary,54,21,10060,120729,4,3,Yes,5,4,18,No
EMP-30250,Engineering,Software Engineer,Non-Binary,37,16,10055,120669,4,3,Yes,34,1,41,No
EMP-30251,Marketing,SEO Specialist,Female,25,2,6057,72688,3,2,No,58,2,33,Yes
EMP-30252,Product,Data Analyst,Non-Binary,54,13,9348,112178,3,3,No,54,2,37,No
EMP-30253,Product,Product Manager,Male,58,1,10795,129547,1,2,No,44,5,40,No
EMP-30254,Product,Data Analyst,Female,39,11,8802,105627,3,3,No,60,3,18,No
EMP-30255,Engineering,Engineering Lead,Female,59,6,11874,142493,3,2,No,23,2,20,No
EMP-30256,Marketing,SEO Specialist,Male,47,1,12491,149901,4,2,Yes,44,5,22,No
EMP-30257,Product,Data Analyst,Non-Binary,25,4,12623,151479,3,3,No,28,5,21,No
EMP-30258,Sales,Sales Director,Female,43,14,11024,132293,5,3,No,35,5,20,No
EMP-30259,Sales,Account Manager,Non-Binary,24,2,12936,155232,5,2,No,46,1,44,No
EMP-30260,Human Resources,Recruiting Lead,Male,34,6,10932,131191,1,3,No,37,5,14,No
EMP-30261,Sales,Sales Executive,Male,34,12,11522,138270,3,2,Yes,17,4,38,No
EMP-30262,Marketing,Content Strategist,Non-Binary,43,22,12114,145378,1,2,Yes,53,2,44,No
EMP-30263,Marketing,Content Strategist,Male,51,8,7174,86099,3,3,Yes,23,5,29,Yes
EMP-30264,Finance,Controller,Male,34,3,5147,61771,3,2,Yes,23,4,40,Yes
EMP-30265,Engineering,DevOps Engineer,Non-Binary,44,11,7771,93253,3,2,Yes,14,1,3,Yes
EMP-30266,Human Resources,Recruiting Lead,Male,34,7,7126,85523,3,4,No,41,3,31,No
EMP-30267,Engineering,DevOps Engineer,Male,57,19,6472,77673,5,3,Yes,35,1,27,Yes
EMP-30268,Human Resources,People Partner,Female,28,2,5594,67132,4,4,Yes,46,1,24,Yes
EMP-30269,Marketing,Growth Marketer,Non-Binary,44,8,11081,132975,1,2,No,25,3,38,No
EMP-30270,Sales,Account Manager,Male,43,14,3822,45867,3,2,No,55,2,15,No
EMP-30271,Human Resources,Recruiting Lead,Male,58,24,10310,123722,2,3,No,7,1,34,Yes
EMP-30272,Product,Product Manager,Female,58,13,11623,139486,3,3,Yes,32,5,2,Yes
EMP-30273,Product,Product Manager,Male,25,4,7840,94089,5,3,No,11,4,39,Yes
EMP-30274,Product,UX Designer,Male,26,3,11157,133895,2,1,Yes,42,2,17,Yes
EMP-30275,Engineering,Engineering Lead,Female,60,16,13515,162184,2,1,Yes,51,1,36,Yes
EMP-30276,Product,Product Manager,Non-Binary,36,10,11774,141297,3,3,Yes,41,4,42,No
EMP-30277,Engineering,Software Engineer,Female,36,1,8997,107964,2,2,No,7,1,36,Yes
EMP-30278,Sales,Sales Director,Male,51,15,11926,143120,3,2,Yes,25,3,40,No
EMP-30279,Human Resources,People Partner,Non-Binary,56,15,12371,148453,2,3,Yes,8,4,13,Yes
EMP-30280,Product,Data Analyst,Non-Binary,23,1,5578,66942,3,3,Yes,23,3,27,No
EMP-30281,Marketing,SEO Specialist,Non-Binary,42,5,11839,142078,4,2,Yes,59,5,27,No
EMP-30282,Engineering,Engineering Lead,Female,50,5,11338,136065,3,4,No,16,3,30,No
EMP-30283,Finance,Accountant,Non-Binary,38,16,9154,109856,3,3,Yes,33,1,45,No
EMP-30284,Marketing,Growth Marketer,Female,52,15,8754,105050,4,1,No,10,2,40,No
